"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","direction","significant"
"ENSG00000146592.17",834.823167241674,1.56900846925771,0.450796067227274,1.19670290811616e-05,0.00123231342092017,"Up",TRUE
"ENSG00000074181.9",17.3702353759965,-3.65779265750012,1.03263128757443,1.20241725421697e-05,0.00123231342092017,"Down",TRUE
"ENSG00000162433.15",60.8980244118109,-2.14024144371973,0.66041487151179,1.26492476911634e-05,0.00128538353245078,"Down",TRUE
"ENSG00000100401.21",445.2771075227,-0.796871133034587,0.207464331028306,1.26790697682428e-05,0.00128538353245078,"NS",FALSE
"ENSG00000112787.14",376.080977573229,-1.07433388736344,0.292132216361088,1.36515876715965e-05,0.00137587883521399,"Down",TRUE
"ENSG00000161905.13",20.8174641602599,2.88601473037798,1.25911512125745,1.3718439999201e-05,0.00137587883521399,"Up",TRUE
"ENSG00000253006.1",5.32282475683405,-3.13883099586453,0.881339712250766,1.3983509725023e-05,0.0013950038558128,"Down",TRUE
"ENSG00000135047.16",2417.97889939408,-2.02702360750459,1.49489225710574,1.4207753587363e-05,0.00140297912389241,"Down",TRUE
"ENSG00000155966.14",14.8592965855129,2.37638334446852,0.708348855150633,1.42130649714507e-05,0.00140297912389241,"Up",TRUE
"ENSG00000054219.11",112.217078701829,1.04852557321083,0.284523751301347,1.43817094941777e-05,0.00141219351603823,"Up",TRUE
"ENSG00000173230.17",1449.72993465239,-0.846272171726021,0.225990440525466,1.4820310396826e-05,0.00143915940826299,"NS",FALSE
"ENSG00000164251.5",136.329001551037,1.35831481224678,0.367717959919858,1.49624471688235e-05,0.00143915940826299,"Up",TRUE
"ENSG00000151148.14",427.188438497053,0.7189733053548,0.186131518671473,1.47601364733612e-05,0.00143915940826299,"NS",FALSE
"ENSG00000135094.11",196.26858393535,-0.237295661728237,0.461014290054606,1.50887781818106e-05,0.00143915940826299,"NS",FALSE
"ENSG00000129219.14",204.268930422496,-1.0288802925903,0.277235820164487,1.50524877077483e-05,0.00143915940826299,"Down",TRUE
"ENSG00000184216.15",1898.22883882968,-1.43804992856801,0.431722904953469,1.51167370529357e-05,0.00143915940826299,"Down",TRUE
"ENSG00000258581.2",136.633689116603,-2.25934051898449,0.678346470442702,1.55651353603023e-05,0.00147436421051752,"Down",TRUE
"ENSG00000134508.13",10.6258354654865,-1.93388776435059,0.563035410790113,1.61247800278993e-05,0.00151969974584548,"Down",TRUE
"ENSG00000261888.1",16.592274319482,-1.8736164675033,0.535217530089747,1.62894349080425e-05,0.00152754175850168,"Down",TRUE
"ENSG00000006125.18",1513.17219490441,0.651644314605517,0.165804278727764,1.65491825822909e-05,0.00154417870313863,"NS",FALSE
"ENSG00000070047.13",327.020244693903,-1.10216322168956,0.302673535004513,1.68992336653017e-05,0.00156903528412245,"Down",TRUE
"ENSG00000133318.14",2672.88457408574,1.0627006278076,0.285374666407659,1.7234947603355e-05,0.00159232237586661,"Up",TRUE
"ENSG00000289768.1",5.23759185226622,3.79226809868379,1.11313567271206,1.74173417403776e-05,0.00160128551147442,"Up",TRUE
"ENSG00000204178.11",356.324865852386,-1.29390003243235,0.370678292687303,1.77946581072402e-05,0.00162009132427811,"Down",TRUE
"ENSG00000232254.1",7.75051721243719,4.26923022225075,1.25803603430082,1.77778883502624e-05,0.00162009132427811,"Up",TRUE
"ENSG00000118113.12",587.954399273055,0.0943304344772599,0.339165596317413,1.80915979121165e-05,0.00163916869005674,"NS",FALSE
"ENSG00000008516.18",841.409518293554,1.86371931360149,0.588597947839637,1.85510400640903e-05,0.00167271517500968,"Up",TRUE
"ENSG00000163814.8",171.449571480396,-1.98423045497769,1.42923927113089,1.91192049552245e-05,0.00171569707624515,"Down",TRUE
"ENSG00000004468.13",412.966523435774,1.10666618378817,0.305489171234095,1.96478987934862e-05,0.00175474448510397,"Up",TRUE
